હ<=>વા,5,5,0,1.0,0.0
વા<=>મા,1,1,0,1.0,0.0
મા<=>ન,33,2,31,0.06060606060606061,0.9393939393939394
હૃ<=>દ,4,4,0,1.0,0.0
દ<=>ય,6,0,6,0.0,1.0
ય<=>પ,1,1,0,1.0,0.0
પ<=>રિ,21,21,0,1.0,0.0
રિ<=>વ,2,2,0,1.0,0.0
વ<=>ર્,27,3,22,0.1111111111111111,0.8148148148148148
ર્<=>ત,11,11,0,1.0,0.0
ત<=>ન,16,0,16,0.0,1.0
હુ<=>ક,3,2,1,0.6666666666666666,0.3333333333333333
ક<=>કો,4,4,0,1.0,0.0
હાં<=>સિ,1,0,0,0.0,0.0
સિ<=>યો,2,1,0,0.5,0.0
હો<=>ના,1,1,0,1.0,0.0
ના<=>ર,1,1,0,1.0,0.0
ર<=>ત,23,2,21,0.08695652173913043,0.9130434782608695
હ<=>ર,11,5,6,0.45454545454545453,0.5454545454545454
ર<=>ણ,49,2,47,0.04081632653061224,0.9591836734693877
હિ<=>લ,1,0,1,0.0,1.0
લ<=>ચા,3,3,0,1.0,0.0
ચા<=>લ,9,2,7,0.2222222222222222,0.7777777777777778
હો<=>ડી,1,1,0,1.0,0.0
હાં<=>સી,1,1,0,1.0,0.0
હિ<=>સા,3,2,1,0.6666666666666666,0.3333333333333333
સા<=>બ,4,1,3,0.25,0.75
સં<=>તો,4,4,0,1.0,0.0
તો<=>ષ,3,0,3,0.0,1.0
ષ<=>કા,1,1,0,1.0,0.0
કા<=>ર,58,5,53,0.08620689655172414,0.9137931034482759
ર<=>ક,24,6,18,0.25,0.75
હુ<=>લ્,1,0,1,0.0,1.0
લ્<=>લ,4,3,1,0.75,0.25
લ<=>ડ,3,1,2,0.3333333333333333,0.6666666666666666
હાં<=>ફ,2,0,2,0.0,1.0
હૂં<=>ડિ,1,1,0,1.0,0.0
ડિ<=>યા,3,3,0,1.0,0.0
યા<=>મ,5,3,2,0.6,0.4
મ<=>ણ,14,1,13,0.07142857142857142,0.9285714285714286
હા<=>નિ,2,2,0,1.0,0.0
હા<=>લ,9,2,7,0.2222222222222222,0.7777777777777778
લ<=>વું,28,28,0,1.0,0.0
હ<=>સ્,8,1,7,0.125,0.875
સ્<=>ત,26,20,5,0.7692307692307693,0.19230769230769232
ત<=>પ્,1,1,0,1.0,0.0
પ્<=>ર,127,2,125,0.015748031496062992,0.984251968503937
ર<=>ત,23,2,21,0.08695652173913043,0.9130434782608695
હુ<=>ક,3,2,1,0.6666666666666666,0.3333333333333333
ક<=>મ,11,4,7,0.36363636363636365,0.6363636363636364
હુ<=>મ,2,1,1,0.5,0.5
મ<=>લો,2,2,0,1.0,0.0
સ્<=>ના,3,0,2,0.0,0.6666666666666666
